time_step,eval_return_mean,eval_std_mean,timestamp
0,-1845.27130301231,102.12833456989941,2022-01-18 11:14:01
10000,-1961.1047639259953,82.79867552767088,2022-01-18 11:14:09
20000,-1382.3093654220113,137.71516553303383,2022-01-18 11:15:31
30000,-802.4345950051619,802.4259160422625,2022-01-18 11:16:50
40000,325.0956983581852,118.30431108960421,2022-01-18 11:18:09
50000,75.37882986635184,388.93930717296615,2022-01-18 11:19:26
60000,108.80866010657488,694.2022579649762,2022-01-18 11:20:38
70000,-35.35991289610132,509.6538637001296,2022-01-18 11:21:49
80000,485.5989865573973,21.438667949869053,2022-01-18 11:23:00
90000,439.70173396901566,61.862153285613836,2022-01-18 11:24:13
100000,197.37611573159768,56.706699760159395,2022-01-18 11:25:24
110000,2.770710023220576,95.78584038221128,2022-01-18 11:26:34
120000,501.3824605030688,32.644917867937224,2022-01-18 11:27:45
130000,560.9185559184714,21.557817259367262,2022-01-18 11:28:56
140000,591.7316179336887,22.434546581510368,2022-01-18 11:30:07
150000,269.95268055146323,195.68871695247518,2022-01-18 11:31:19
160000,417.6339566031371,50.306885936249145,2022-01-18 11:32:31
170000,534.6741863040817,68.36593833479542,2022-01-18 11:33:43
180000,520.1014736505255,16.807604222814163,2022-01-18 11:34:55
190000,545.7177509739342,25.668911711893866,2022-01-18 11:36:07
200000,599.1013435369946,20.44025593477994,2022-01-18 11:37:18
210000,496.3215508324189,264.2499909731622,2022-01-18 11:38:35
220000,606.1552276098967,17.3998958007735,2022-01-18 11:39:49
230000,611.7302814729788,14.453891061161105,2022-01-18 11:41:01
240000,582.2503067211077,20.95476736714952,2022-01-18 11:42:12
250000,691.7104559816097,15.607802116964114,2022-01-18 11:43:25
260000,565.6808876790703,95.04702748312938,2022-01-18 11:44:37
270000,626.2076984841335,105.76027101471978,2022-01-18 11:45:49
280000,537.065869146523,73.5757755828216,2022-01-18 11:47:03
290000,393.54420452988705,105.73722948982481,2022-01-18 11:48:15
300000,-195.34919258412793,172.92627695324558,2022-01-18 11:49:27
310000,589.5262464517508,20.364113253698026,2022-01-18 11:50:38
320000,673.3403594672858,17.24284334614742,2022-01-18 11:51:52
330000,671.7522489771038,12.217847852065116,2022-01-18 11:53:04
340000,569.0258006314283,49.22642842989659,2022-01-18 11:54:16
350000,628.4250791914858,19.838524542607622,2022-01-18 11:55:28
360000,601.6749907254048,26.16556231455126,2022-01-18 11:56:40
370000,573.1843824429708,63.716940592118384,2022-01-18 11:57:52
380000,540.5779719102153,49.25883995815602,2022-01-18 11:59:03
390000,716.3472019985982,10.875883084194488,2022-01-18 12:00:15
400000,454.25295389312106,115.35788533206302,2022-01-18 12:01:26
410000,682.6679845562187,125.6845907234693,2022-01-18 12:02:38
420000,353.38395069216597,81.02421403848496,2022-01-18 12:03:49
430000,704.8558807221746,19.176761086550712,2022-01-18 12:05:00
440000,616.8570892028984,25.71537577159585,2022-01-18 12:06:12
450000,606.9075258855821,34.55580434248404,2022-01-18 12:07:23
460000,723.1199605752652,35.11325447331196,2022-01-18 12:08:35
470000,782.0459195814605,19.83122857744716,2022-01-18 12:09:46
480000,810.7773832191414,11.603008021319718,2022-01-18 12:10:58
490000,274.03888142479013,95.98966778360105,2022-01-18 12:12:09
500000,683.2183349236623,33.75543554273393,2022-01-18 12:13:20
510000,661.8965883145709,65.17568199325176,2022-01-18 12:14:31
520000,802.8029752707275,18.708498804849572,2022-01-18 12:15:43
530000,750.2306738597333,96.6769914098245,2022-01-18 12:16:55
540000,728.3802282935321,100.59399070461915,2022-01-18 12:18:07
550000,794.3985803025085,50.88721692697189,2022-01-18 12:19:18
560000,820.4256749375536,69.72599479298675,2022-01-18 12:20:29
570000,773.6792342182373,13.925932124534349,2022-01-18 12:21:40
580000,704.0611078756544,49.650414961967726,2022-01-18 12:22:52
590000,809.7948072796665,11.155686403774274,2022-01-18 12:24:03
600000,746.9237759818345,77.26905544658757,2022-01-18 12:25:15
610000,812.1672524697699,4.773246068547305,2022-01-18 12:26:26
620000,773.6537733304398,138.19537801081663,2022-01-18 12:27:37
630000,771.515992762232,29.702909532859174,2022-01-18 12:28:48
640000,792.7642816609732,156.9895595029662,2022-01-18 12:30:00
650000,814.4525208232541,16.80892983290798,2022-01-18 12:31:12
660000,815.2158159882669,12.459712731212969,2022-01-18 12:32:24
670000,745.0169364924888,85.99463903413333,2022-01-18 12:33:35
680000,804.9007122075552,78.79523370778664,2022-01-18 12:34:46
690000,735.5135141032571,170.2304518202524,2022-01-18 12:35:58
700000,762.8532834873254,32.666899727059004,2022-01-18 12:37:09
710000,748.4928180742069,64.11727600884142,2022-01-18 12:38:20
720000,817.5907577401857,49.5070851034573,2022-01-18 12:39:32
730000,811.595007336816,39.51981477869945,2022-01-18 12:40:43
740000,-397.9867465074409,503.069147120228,2022-01-18 12:41:55
750000,825.7250531498818,23.044176927704225,2022-01-18 12:43:06
760000,823.8363063271242,33.41130244936651,2022-01-18 12:44:18
770000,758.147629845387,42.10765358960598,2022-01-18 12:45:31
780000,807.7569517547215,38.32869207088524,2022-01-18 12:46:46
790000,869.4616748859729,8.290189457981937,2022-01-18 12:47:58
800000,836.1750909685677,11.75519425874321,2022-01-18 12:49:10
810000,748.9504918678846,103.18850738392221,2022-01-18 12:50:22
820000,725.8327595214523,287.67477632926017,2022-01-18 12:51:33
830000,828.3626600564014,33.6180851178066,2022-01-18 12:52:45
840000,752.3341363398913,41.85944625170144,2022-01-18 12:53:57
850000,847.7703636602986,12.331537470629176,2022-01-18 12:55:09
860000,789.2499233837798,20.807298258585032,2022-01-18 12:56:22
870000,627.3423592149992,268.7924126239896,2022-01-18 12:57:35
880000,808.1673038051795,43.86480637896285,2022-01-18 12:58:48
890000,729.6999706747845,12.851367125991006,2022-01-18 13:00:01
900000,809.245231722,24.075729723896394,2022-01-18 13:01:14
910000,251.57848126627837,489.34042979025065,2022-01-18 13:02:26
920000,890.0658156026257,22.69609805700026,2022-01-18 13:03:37
930000,771.9642730536559,63.92482697503551,2022-01-18 13:04:50
940000,635.434640070728,119.37641546464727,2022-01-18 13:06:02
950000,737.7329210890027,13.344169203700988,2022-01-18 13:07:16
960000,863.4824565002273,10.018186378163982,2022-01-18 13:08:28
970000,585.113184723966,29.383343597400298,2022-01-18 13:09:40
980000,823.4934786221169,7.458231814949658,2022-01-18 13:10:52
990000,157.90291740312244,380.09257720352184,2022-01-18 13:12:04
1000000,795.6751259455182,8.805789530884002,2022-01-18 13:13:16
